impact	total	other	runner_up_role	runner_up_count	phrase
90	119	90	food_service_hospitality	18	patient services representative
86	122	86	operations_admin	15	vice president of operations
40	76	40	retail	13	manager part time
35	46	35	software_engineering	10	mechanical engineering intern
27	34	27	software_engineering	6	salesforce solutions architect
23	36	23	software_engineering	6	shipping and receiving manager
20	35	20	skilled_trades_construction	7	non-profit developer
19	27	19	sales	3	consultant part time
18	23	18	transportation_logistics	5	shipping and receiving clerk
12	14	12	skilled_trades_construction	2	utility systems repairer operator
12	14	12	skilled_trades_construction	2	utility systems repairer - operator
12	14	12	devops_sre_infra	2	member of technical staff - infrastructure
11	21	11	skilled_trades_construction	3	research and development manager
11	21	11	education_teaching	3	toledo, ohio
11	17	11	healthcare_clinical	2	clinical applications specialist
11	14	11	software_engineering	3	manufacturing engineering intern
6	10	6	operations_admin	2	tool and die maker
