"rank","slug","source","n_jobs","top_titles","sample_description","industry","confidence"
"1","fivetran","greenhouse","83","Account Executive, Commercial | Account Executive, Commercial - EMEA | Account Executive, Commercial - German Speaking | Account Executive, Enterprise | Account Executive, Enterprise - Strategic Expansion","From Fivetran’s founding until now, our mission has remained the same: to make access to data as simple and reliable as electricity. With Fivetran, customer data arrives in their warehouses, canonical and ready to query, with no engineering or maintenance required. We’re proud that more organizations continue to leverage our technology every day to become truly data-driven. About the Role Fivetran","tech_software_internet","high"
"2","oliver","greenhouse","83","Account Director – Asset Management & Private Equity | Account Manager | Account Manager - Argentina | Account Manager (Creative/Advertising/Social) | ANALYTICS DIRECTOR","Established in 2004, OLIVER is the world’s first and only specialist in designing, building, and running bespoke in-house agencies and marketing ecosystems for brands. We partner with over 300 clients in 40+ countries and counting. Our unique model drives creativity and efficiency, allowing us to deliver tailored solutions that resonate deeply with audiences. &nbsp; As a part of The Brandtech Grou","consulting_professional_services","high"
"3","focusfinancialpartners","greenhouse","79","Account Manager | Account Manager (ST) | Accounts Assistant | Assistant Vice President, Senior Associate Counsel - Corporate | Assistant Vice President, Senior Counsel - Litigation","The VP of FP&amp;A is a senior finance leader that will report to the Head of FP&amp;A and lead enterprise-wide FP&amp;A efforts around budgeting, planning, annual forecasting and management reporting for Focus.&nbsp; This role will partner closely with business unit and corporate finance teams as well as business and functional leaders to build scalable and consistent processes and drive deeper i","finance_banking","high"
"4","polene-paris","ashby","79","Ingénieur Innovation Cuir & Matières H/F | Designer Maroquinerie Senior | Senior Leathergoods Designer | Leather Goods Artisan - Osaka | Prototypiste - Modéliste","LA MAISON POLENE Fondée en 2016, la maison de maroquinerie française Polène se distingue par son savoir-faire artisanal d’excellence en créant des pièces intemporelles, au design organique directement inspiré de la nature. Dans un contexte de forte croissance et d’expansion internationale, nous structurons notre activité en 2026 et nous entourons des meilleurs talents afin de déployer une expertis","consumer_brands","high"
"5","alfredbeneschco","greenhouse","77","Alternative Delivery Project Engineer | Alternative Delivery Project Manager | Alternative Delivery Transportation Project Engineer | Alternative Delivery Transportation Project Manager | Aviation Designer","Simply Put, A Great Place to Work Benesch is a growing, multi-disciplined planning, engineering, and professional services firm. We enhance infrastructure and communities across the country – creating spaces and providing connections in ways that make a difference. We pride ourselves on being nimble enough to remain responsive to client needs yet large enough to offer exceptional bench strength. A","consulting_professional_services","high"
"6","motional","greenhouse","77","Accounts Payable Manager | Associate Fleet Operations Specialist | AV Test Engineer | AV Test Operator Day | Data Annotation Associate Specialist","Mission Summary: The Mapping Analyst will provide global support to the Map Operations team and support launching autonomous vehicle service in new cities around the country and the world. The Mapping Analyst will provide support to the Market Entry Map Operations team by collecting infrastructure data and analyzing road features and work closely with product and engineering teams to guide feature","automotive","high"
"7","iherb","greenhouse","75","3PL Region Manager- MENA | Affiliate Marketing Specialist- International | Application Security Engineer | Brand Partnerships Manager, Emerging Brands | Category Manager (Bath & Personal Care)","*THIS ROLE&nbsp; IS HYBRID AND REQUIRES ONSITE WORK AT OUR IRVINE OFFICE* &nbsp; Job Summary:&nbsp; The Tax Manager will work on various tax reporting, compliance and planning projects as directed by the Director of Tax. The Tax Manager will support and review month end close activities.&nbsp; &nbsp; Job Expectations: Oversee the end-to-end preparation and filing of state, local, and international","retail_ecommerce","high"
"8","zone5technologies","greenhouse","74","Aerodynamics CFD Engineer III/IV | AI Assisted Software Engineer | Chief Engineer | CMMC Business Analyst III/IV | CNC Machinist I","At Zone 5 Technologies, we're redefining what's possible in unmanned aircraft systems. Our team of engineers and innovators is developing cutting-edge autonomous solutions that push the boundaries of UAS technology - solving complex challenges that matter. We're building the future of UAS capabilities, and we're looking for exceptional talent to join us. If you're driven by hard problems, energize","defense_aerospace","high"
"9","cintas","linkedin","71","Assistant Route Service Sales Representative (4-Day Workweek) | Production Shuttle Driver - CDL (4-Day Workweek) | Production Supervisor - 2nd Shift | Intern | Service Manager","Requisition Number: 171411 Job Description Cintas is seeking an Account Manager to serve as a liaison between Cintas customers, sales and all business units. Responsibilities include managing business relationships with customers to ensure accurate and timely program implementation increased penetration; growth; profitability; execution of marketing strategy; sales; inventory management; and reten","consulting_professional_services","medium"
"10","petco","linkedin","70","Vetco Veterinary Assistant P/T | Senior Sales Associate - Keyholder | Junior Groomer | Sales Associate | Groomer","Create a healthier, brighter future for pets, pet parents and people! If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you. Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet. We love all pets like our ownWe’re the future of ","retail_ecommerce","high"
"11","mach","ashby","69","Electrical Engineer | Composites Technician | Flight Test Engineer | Navigation Engineer | Crew Chief","About Mach Industries Founded in 2022, Mach Industries is a rapidly growing defense technology company focused on developing next-generation autonomous defense platforms . At the core of our mission is the commitment to delivering scalable, decentralized defense systems that enhance the strategic capabilities of the United States and its allies. With a workforce of approximately 220 employees , we","defense_aerospace","high"
"12","cvx","greenhouse","68","Affärsutvecklingschef CVX Ventures Sweden | Afgangselev | Assistent Analyst | Business Development Manager CVX Ventures Denmark | Business Development Manager CVX Ventures Sweden","CVX Venture Scout Programme Do you have a passion for sourcing investments and making a difference for growth companies? Do you want to assist an extraordinary team of talented, motivated, driven individuals who all share a deep passion for entrepreneurship? If so, you may be our new Venture Scout. Please note, this is not a full time role, but we will provide remuneration based on success criteri","finance_banking","medium"
"13","faire","greenhouse","67","Account Manager, Fulfillment | Applied AI / ML Scientist - Ads Bidding | Applied AI / ML Scientist - Search Ads | Backend Engineer | Customer Experience Associate - 3 Months Contract (London, UK)","About Faire Faire is a technology wholesale platform built on the belief that the future is local. Independent retailers around the globe collectively represent a multi-hundred-billion-dollar wholesale market that has historically been fragmented and offline. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Pi","tech_software_internet","high"
"14","disher","lever","66","Account Executive | Assistant Controller | Automation Controls Engineer | Automation Mechanical Designer | Automation Mechanical Engineer","Talent Consultant - Contract - Zeeland, Michigan DISHER is currently seeking an intuitive, analytical, and tenacious individual to provide professional talent acquisition support for our customers. As a part of the team, you will lead and coordinate the recruitment process (planning, sourcing, screening, and hiring) to acquire the best talent. These responsibilities will call on you to find, foste","consulting_professional_services","high"
"15","flexport","greenhouse","63","Account Executive, ENT | Account Executive, Enterprise | Air Operations Associate | Air Operations Associate, Hanoi | Air Pricing Associate","About Flexport:&nbsp; At Flexport, we believe global trade can move the human race forward. That’s why it’s our mission to make global commerce so easy there will be more of it. We’re shaping the future of a $10T industry with solutions powered by innovative technology and exceptional people. Today, companies of all sizes—from emerging brands to Fortune 500s—use Flexport technology to move more th","transportation_logistics","high"
"16","novafounders","greenhouse","61","Afgangselev | Assistant Analyst | Associate at Search Fund | Business Analyst Internship at Nova Founders | Business Intern","Job Description Do you thrive in a fast-paced environment, where you gain a tremendous amount of responsibility? Do you want to be part of an exceptional entrepreneurial team with young, motivated and extremely driven people? And are you curious or passionate about finding and developing this generation’s greatest talents? If so, you might be our Recruiter. &nbsp; About us Nova Founders Capital is","finance_banking","medium"
"17","deepmind","greenhouse","60","Administrative Business Partner, Gemini (12 months Fixed Term Contract) | Director, Engineering, Create | Director of Product Management, Robotics | Director, UX, GeminiApp, Growth and Discovery | Distinguished Designer, Gemini App Systems","Snapshot We are seeking a Senior Psychologist to join the Responsible Development &amp; Innovation team (ReDI) at Google DeepMind. The candidate should have relevant prior industry experience, a strong general understanding of core psychological principles and the ability to leverage internal and external expertise and research experience in AI-related areas (e.g., cognitive, behavioural).&nbsp; A","tech_software_internet","high"
