slug,industry,confidence
newrelic,tech_software_internet,high
togetherai,tech_software_internet,high
samsungsemiconductor,tech_hardware_semiconductors,high
podium81,tech_software_internet,high
duolingo,tech_software_internet,high
comstock,real_estate_construction,medium
garnerhealth,healthcare_provider,high
brainlabs,media_entertainment,high
confluent,tech_software_internet,high
elliptic,tech_software_internet,high
rehire,consulting_professional_services,low
permitflow,tech_software_internet,high
pivotal,defense_aerospace,medium
redwoodcu,finance_banking,high
discovery-senior-living,healthcare_provider,high
laskoproducts,consumer_brands,high
arch.co,finance_fintech,medium
texasairsystems,real_estate_construction,medium
nirvana-asia-group,other,medium
a3c41b8b71eff8c4,tech_software_internet,low
align,tech_software_internet,low
assured,finance_insurance,medium
matx,tech_hardware_semiconductors,high
synergyecp,defense_aerospace,medium
atkore,manufacturing,high
calendly,tech_software_internet,high
connectedcannabis,consumer_brands,high
flowtraders,finance_fintech,high
sage-it,consulting_professional_services,high
sully-ai,tech_software_internet,high
nozominetworks,tech_software_internet,high
omadahealth,healthcare_provider,high
siftstack,tech_software_internet,high
comfy-org,tech_software_internet,high
example,other,low
learning-care-group,education_k12,high
luxoft-malaysia-sdn-bhd,consulting_professional_services,high
numeral,finance_fintech,medium
pagayais,finance_fintech,high
particle41llc,consulting_professional_services,medium
warisan-tc-holdings-bhd,automotive,medium
blackbird-labs-inc,hospitality_food_service,medium
datatonic,consulting_professional_services,high
genezenlabs,healthcare_pharma_biotech,high
quartermaster,defense_aerospace,medium
deepl,tech_software_internet,high
gallagher,finance_insurance,high
gradial,tech_software_internet,high
insurify,finance_insurance,high
merklescience,tech_software_internet,high
nirvana-kl-berhad,other,medium
ziprecruiter,tech_software_internet,high
bravo,real_estate_construction,medium
charliehealthepd,healthcare_provider,high
confidencial,other,low
dabsinc,healthcare_provider,high
firecrawl,tech_software_internet,high
givecampus,tech_software_internet,high
lvi-associates,consulting_professional_services,high
away,consumer_brands,high
bubble,tech_software_internet,high
doppel,tech_software_internet,high
doximity,tech_software_internet,high
granola,tech_software_internet,high
hackajob,tech_software_internet,high
inspire11,consulting_professional_services,high
junior,tech_software_internet,medium
maybern,finance_fintech,medium
mudflap,transportation_logistics,medium
optima-bio-supply-ltd,other,low
porter-group,consulting_professional_services,high
reflow,tech_software_internet,medium
rock-maestro-sdn-bhd,real_estate_construction,medium
biggie,media_entertainment,medium
lightfield,tech_software_internet,high
securityscorecard,tech_software_internet,high
4lu44n1n37w012k,media_entertainment,low
adventhealth,healthcare_provider,high
auviknetworks,tech_software_internet,high
berjaya-corporation-berhad,other,medium
bloomerang,tech_software_internet,high
infisical,tech_software_internet,high
insightassurance,consulting_professional_services,high
insulet-malaysia,healthcare_devices,high
integrators.cz,consulting_professional_services,high
intellyk-inc,consulting_professional_services,high
intropic,finance_fintech,medium
isn,tech_software_internet,high
kitware,tech_software_internet,high
kizen,consulting_professional_services,medium
koho,finance_fintech,high
latamcent,consulting_professional_services,high
lazer,consulting_professional_services,medium
lemon-markets,finance_fintech,high
lhvuk,finance_banking,high
liatrio,consulting_professional_services,high
lightspeeddms,tech_software_internet,medium
lincare,healthcare_provider,high
liquidiv,consumer_brands,high
lokainc,consulting_professional_services,medium
longwall,defense_aerospace,low
manaycpa.com,consulting_professional_services,high
maneuver-marketing,media_entertainment,high
martellgrowthsolutions,consulting_professional_services,medium
maven-agi,tech_software_internet,high
maxonic,consulting_professional_services,high
maybellquantum,tech_hardware_semiconductors,medium
microventures,finance_fintech,high
miopartners,consulting_professional_services,medium
momenti-inc,tech_software_internet,high
moneyboxapp,finance_fintech,high
myedspacecareers,education_k12,high
n1,tech_software_internet,medium
national-general,finance_insurance,high
nebraska-medicine,healthcare_provider,high
neteasegames,gaming,high
noahmedical,healthcare_devices,high
nolato-malaysia-sdn-bhd,manufacturing,high
nova401,finance_fintech,medium
octanelending,finance_fintech,high
odoo,tech_software_internet,high
ola-technologies-sdn-bhd,consulting_professional_services,low
outside,media_entertainment,high
pacvue,tech_software_internet,high
paradies-lagard-re,retail_ecommerce,medium
pavebank,finance_banking,high
pdtpartners,finance_fintech,high
percona,tech_software_internet,high
personalizedbeautydiscoveryincdbaipsy,consumer_brands,medium
pilot-flying-j,hospitality_food_service,high
prezzee,tech_software_internet,high
prodigal,tech_software_internet,high
prorecruiters,consulting_professional_services,high
publicis-sapient,consulting_professional_services,high
pylon,finance_fintech,medium
qventus,tech_software_internet,high
rackner,defense_aerospace,high
redoxengine,tech_software_internet,high
regrello,tech_software_internet,high
remofirst,tech_software_internet,high
rentokil-pest-control-north-america,other,medium
rescale,tech_software_internet,high
rimestechnologies,tech_software_internet,high
riverdale,education_k12,high
rxr,real_estate_construction,high
sandboxaq,tech_software_internet,high
satoshilabs,tech_software_internet,high
segula-technologies,defense_aerospace,high
sharp-decisions,consulting_professional_services,high
sibitalent-corp,consulting_professional_services,high
slb,energy_utilities,high
smithsonian-institution,public_sector_government,high
smx,defense_aerospace,high
social-capital-resources,consulting_professional_services,high
softcom-systems-inc,consulting_professional_services,high
solugenix,consulting_professional_services,high
sparksoftcorporation,defense_aerospace,medium
stampede-solution-sdn-bhd-volare,consulting_professional_services,low
steelpointsolutions,defense_aerospace,medium
stifel-financial-corp,finance_banking,high
strategic-growth-partners,defense_aerospace,low
super,tech_software_internet,low
tala,finance_fintech,high
taxreliefadvocates,legal_services,medium
testlio,tech_software_internet,high
the-british-international-school-of-kuala-lumpur-sdn-bhd,education_k12,high
themuseumofscience,nonprofit,high
tractor-supply-company,retail_ecommerce,high
traegergrills,consumer_brands,high
transcosmos-malaysia-sdn-bhd,consulting_professional_services,high
trueml,finance_fintech,high
united-software-group-inc,consulting_professional_services,high
unknown-company,other,low
upshop,tech_software_internet,high
