slug,industry,confidence
rehire,consulting_professional_services,low
nirvana-asia-group,other,medium
a3c41b8b71eff8c4,tech_software_internet,low
align,tech_software_internet,low
example,other,low
nirvana-kl-berhad,other,medium
confidencial,other,low
optima-bio-supply-ltd,other,low
4lu44n1n37w012k,media_entertainment,low
berjaya-corporation-berhad,other,medium
longwall,defense_aerospace,low
ola-technologies-sdn-bhd,consulting_professional_services,low
rentokil-pest-control-north-america,other,medium
stampede-solution-sdn-bhd-volare,consulting_professional_services,low
strategic-growth-partners,defense_aerospace,low
super,tech_software_internet,low
unknown-company,other,low
access,tech_software_internet,low
bluecubeservices,tech_software_internet,low
delphint-operation-sdn-bhd,consulting_professional_services,low
endless-trading-sdn-bhd,consulting_professional_services,low
habib-group,other,low
incompleteness-theorem-sdn-bhd,tech_software_internet,low
joey-yap-research-international,other,low
kara-marketing-m-sdn-bhd,media_entertainment,low
orkin,other,medium
regent,other,low
trader2u-sdn-bhd,other,low
turnkey,tech_software_internet,low
artemis,tech_software_internet,low
boom,tech_software_internet,low
mxm-international-sdn-bhd,consulting_professional_services,low
spanco-sdn-bhd,other,low
upscale-sdn-bhd,other,low
abundant,tech_software_internet,low
kuok-singapore-limited-group,other,medium
future,tech_software_internet,low
j8-security-llc,other,medium
thelibragroup,other,medium
confidential-jobs,other,low
anonymous,other,low
confidential-company,other,low
graphic-t-shirts,consulting_professional_services,low
nirvana-memorial-park-karak-berhad,other,medium
h2lp0ei2nf3oz4ydk7,tech_software_internet,low
lion-group,other,medium
shin-chin-seng-enterprise-sdn-bhd,consulting_professional_services,low
berjaya-corporation-bhd,other,medium
